category,id,name,level,sockets,rarity,core_effects,effects
Ring,1D1E5D,Universalist's Signet of Wealth,ring_merchant_rare04b,36,0,Rare,,187BF11C3E14
Ring,1D1E5C,Vigorous Signet of Gloom,ring_merchant_rare04a,36,0,Rare,,1C4287142297
Ring,1D1E5B,Ring of Light,ring_merchant_infrequent04b,30,0,Rare,,142298
Ring,1D1E5A,Spy's Ring,ring_merchant_infrequent04a,30,0,Rare,,07A770
Ring,1D1E59,Master's Band of Fortune,ring_merchant_rare03b,24,0,Rare,,1C42901C3E13
Ring,1D1E58,Noble's Band of Growth,ring_merchant_rare03a,24,0,Rare,,1421A21C3E39
Ring,1D1E57,Berserker's Ring,ring_merchant_infrequent03b,21,0,Rare,,07A769
Ring,1D1E56,Magus' Ring,ring_merchant_infrequent03a,21,0,Rare,,07A775
Ring,1D1E55,Disciple's Band,ring_merchant_rare02b,15,0,Infrequent,,07A71E
Ring,1D1E54,Potent Band,ring_merchant_rare02a,15,0,Rare,,07A78F
Ring,1D1E53,Ring of Expansion,ring_merchant_infrequent02b,12,0,Rare,,080B52
Ring,1D1E52,Vindicator's Ring,ring_merchant_infrequent02a,12,0,Infrequent,,07A741
Ring,1D1E51,Signet of Bounty,ring_merchant_rare01b,7,0,Rare,,080B55
Ring,1D1E50,Uniting Signet,ring_merchant_rare01a,7,0,Rare,,07A7D6
Ring,1D1E4F,Ring of Achievement,ring_merchant_infrequent01b,5,0,Rare,,080B4D
Ring,1D1E4E,Hearty Ring,ring_merchant_infrequent01a,5,0,Rare,,07A78D
Shield,1D1E4D,Vigorous Kite Shield of Sanctuar,shield_warrior_merchant_rare04c,35,0,Rare,,0832F61C42871C3E28
Shield,1D1E4C,Ingenious Kite Shield of the Eli,shield_warrior_merchant_rare04b,35,0,Infrequent,,0832F607A7811C3E26
Shield,1D1E4B,Savant's Kite Shield of Storm's ,shield_warrior_merchant_rare04a,35,0,Rare,,0832F61C42911428E3
Shield,1D1E4A,Kite Shield of the Indomitable,shield_warrior_merchant_infrequent04c,35,0,Rare,,0832F607B62B
Shield,1D1E49,Juggernaut's Kite Shield,shield_warrior_merchant_infrequent04b,35,0,Rare,,0832F607A76E
Shield,1D1E48,Prismere Kite Shield,shield_warrior_merchant_infrequent04a,35,2,Infrequent,,0832F6
Shield,1D1E47,Prismere Kite Shield,shield_warrior_merchant_common04c,35,2,Infrequent,,0832F6
Shield,1D1E46,Kite Shield of Lightning Warding,shield_warrior_merchant_common04b,35,0,Infrequent,,0832F61C3E201C3E20
Shield,1D1E45,King's Kite Shield,shield_warrior_merchant_common04a,35,0,Infrequent,,0832F61C42741C4274
Shield,1D1E44,Prismere Kite Shield,shield_warrior_merchant_rare03c,35,2,Infrequent,,0832F6
Shield,1D1E43,Impenetrable Kite Shield of Temp,shield_warrior_merchant_rare03b,31,0,Rare,,0832F607A5D51C3E22
