id,value
001FC2,Arrow
001FC8,invisible ammo fast
001FC9,invisible ammo slow
001FCA,invisible ammo
001FCC,RangedAmmo
001FCD,SpellAmmo
001FCE,SpellAmmoFast
001FCF,SpellAmmoInstant
001FD0,SpellAmmoSlow
001FD1,Sweetspot
001FEF,gold_coffer
001FFC,arrow_hit_location
00200A,LocationMarker
002051,miss_location
002059,PlayerOnly
002062,StartLocation
002075,DEV_Grunt_Dummy
002131,Activity_Shopping
002133,Activity_NiceView
002153,DangerManager
002156,Door
002159,Invalid
00215A,Lever
00306C,SpellAmmoVeryFast
003DC2,FlamingArrow
0154A7,Activity_Default
0154A8,Ammo_Default
0154A9,Armor_Default
0154AA,Container_Default
0154AB,Item_Default
0154AC,MovingObject_Default
0154AD,NPC_Default
0154D9,PlayerCharacter_Default
0154DA,Smashable_Default
0154DB,SpellCastingActivity_Default
0154EA,StaticAnimatingThing_Default
0154EB,Weapon_Default
0154EC,WorldLocation_Default
01EBAE,warrior_common01a_feet
01EBAF,warrior_common01a_torso
01EBB1,warrior_common01a_hands
01EBB3,warrior_common01a_legs
0211C6,Broken_Arrow
02216A,Unibox_Merchant_1
02216D,Unibox_Quest_Giver_1
02216E,Unibox_Quest_Giver_2
02218B,Unibox_Quest_Giver_3
028ACF,Unibox_Trainer
029E81,projectile_tempest_sword_blast
02A319,prototype_hidden_door
02AA1F,Invisible_Fast_Travel_Point
0321BB,Antelope_A
0324C1,Bandages
0324EB,Mana_Potion
032A78,Player
032DB9,projectile_bow_arrow
032E3F,gold_coins_01
0351E0,PARENT_WeaponMagic
035480,Might_Quake
0356DC,Sorcery_StormBolt
037638,OBSOLETE_ReagentSource_Restoration_02
03763B,ReagentSource_Physical
03763F,OBSOLETE_ReagentSource_Fire_06
037642,OBSOLETE_ReagentSource_Luck_02
037644,OBSOLETE_ReagentSource_Resistance_01
037648,OBSOLETE_ReagentSource_Damage_02
03764E,Reagent_Lightning
037651,Reagent_Ice
037653,Reagent_Health
037655,Reagent_XP
037659,Reagent_Bleeding
03765C,Reagent_Reflection
037665,Reagent_Poison
037683,PARENT_BlacksmithForge_All
037684,AlchemyWorkbench_All_Parent
03768F,PARENT_Bed_All
037694,SkillBook_Alchemy
037695,SkillBook_Dispelling
037696,SkillBook_Blacksmithing
037697,SkillBook_DetectHidden
037698,SkillBook_Persuasion
03769A,SkillBook_Lockpicking
03769C,SkillBook_Mercantile
03769E,SkillBook_Sagecraft
038020,Blacksmithing_RepairKit01
038128,Door_Hide_Universal_01
03812F,Door_Std_WoCavern_01
038136,Door_Std_WoCavern_02
038137,Door_Std_WoCavern_03
038145,Door_Hide_WoCavern_01
038182,Container_Std_ForestRuin_01
038187,Container_Std_ForestRuin_02
038188,Container_Std_ForestRuin_03
038192,Container_Hide_Universal_01
038195,Container_Hide_Universal_02
038196,Container_Hide_Universal_03
038292,DEV_Activity_Test
038411,AlchemyWorkbench_Std_Universal_01
03845B,BlacksmithForge_Std_Universal_01
03845C,PARENT_Sign_All
03845F,PARENT_Reagent_All
0388E5,SpellbindingAltar_Std_Universal_01
0388E6,PARENT_SpellbindingAltar_All
038BBC,Barghest_Feral_Corpse01
038BD6,Troll_A_Corpse01
038BE0,Antelope_A_Corpse01
0390C2,Novarrean_Citizen_Male_Corpse01
0390C9,Novarrean_Citizen_Female_Corpse01
03987F,DEV_QA_GRANDHPGRUNT
03A98E,Magic_StormBolt_Ammo
03AD4B,Container_Quest_Loot_06
03B16D,PARENT_ReagentSource
03D9BF,Container_Quest_Loot_01
03D9C1,Container_Quest_Loot_03
03D9C2,Container_Quest_Loot_04
03D9C3,Container_Quest_Loot_05
03DBB4,sword1h_common01a
03DBB7,mirrorblades_common01a
03DBB8,greathammer_common01a
