id,value
0342F3,ItemBuff_FireDoTFlat_01
0342F4,ItemBuff_LightningDmgFlat01
0342F6,ItemBuff_PoisonDoTFlat01
03431D,ItemBuff_IceResistance_01
03431F,ItemBuff_FireResistance_01
034320,ItemBuff_LightningResistance_01
055B06,Shrine_DamageBonus
05735F,Alchemy_FireDamage_01
057385,Alchemy_CriticalChance_01
05E0F3,ItemBuff_MageArmor_ManaRegen_Torso01
05E14D,Destiny_FatelessOne
05E7D5,ItemBuff_MageArmor_ManaRegen_Head01
05E7D6,ItemBuff_MageArmor_ManaRegen_Hands01
05E7D7,ItemBuff_MageArmor_ManaRegen_Legs01
05E7D8,ItemBuff_MageArmor_ManaRegen_Feet01
061573,Shrine_ArmorBonus
061574,Shrine_RegenHP
061575,Shrine_RegenMP
061577,Finesse_AssassinsArt_01
06466A,M0_Debuff_HealthDegen
064761,ItemBuff_IceDmgFlat01
06476A,ItemBuff_IceDoTFlat01
065FB2,ItemBuff_LightningDoTFlat01
065FDD,ItemBuff_FireDmgFlat_01
06600E,ItemBuff_LightningDmgPercent_01
066011,ItemBuff_BleedingDoTFlat01
066073,ItemBuff_LightningDurationPercent01
0660AD,ItemBuff_PierceDmgFlat01
06618D,ItemBuff_HealthRegenPercent01
066196,ItemBuff_CriticalHitChanceBonus_01
06619B,ItemBuff_SkillBonus_Alchemy_01
06619C,ItemBuff_SkillBonus_Dispelling_01
06619D,ItemBuff_SkillBonus_Blacksmithing_01
06619E,ItemBuff_SkillBonus_DetectHidden_01
06619F,ItemBuff_SkillBonus_Persuasion_01
0661A0,ItemBuff_SkillBonus_Lockpicking_01
0661A1,ItemBuff_SkillBonus_Mercantile_01
0661A3,ItemBuff_SkillBonus_Sagecraft_01
0661A5,ItemBuff_SpeedBonus01
0661A9,ItemBuff_HealthMaxIncreasePercent_01
0678B3,DEV_NullBuff
0679DD,Finesse_LongbowMastery_01
0679E1,Finesse_LongbowMastery_02
0679E2,Finesse_LongbowMastery_03
0679F1,Sorcery_Overload_Buff01
0682A6,ItemBuff_TotalResistance01
0682A7,ItemBuff_MagicResistance_01
06D26C,Debuff_HealthDegenOverTime
06D674,Unlock_Teleport
0704ED,Might_Adrenaline_Surge_Buff01
0704EE,Might_Adrenaline_Surge_Buff02
0704EF,Might_Adrenaline_Surge_Buff03
0704FD,Might_Bulwark_01
0704FE,Might_Bulwark_02
0704FF,Might_Bulwark_03
070500,Might_PowerStrike_Buff01
070501,Might_PowerStrike_Buff02
070502,Might_PowerStrike_Buff03
0716CE,TR02_AmetairBuff
071B72,Finesse_Drawpower_Buff01
071B73,Finesse_Drawpower_Buff02
071B74,Finesse_Drawpower_Buff03
071B75,Finesse_EnduringAgony_Buff01
071B76,Finesse_EnduringAgony_Buff02
071B77,Finesse_EnduringAgony_Buff03
071B78,Finesse_Execution_Buff01
071B79,Finesse_Execution_Buff02
071B7A,Finesse_Execution_Buff03
071B80,Finesse_Inocculated_Buff01
071B82,Finesse_Inocculated_Buff02
071B83,Finesse_Inocculated_Buff03
071B9D,Sorcery_ElementalAttunement_Buff01
071BBB,Sorcery_Fulmination_Buff01
071BC6,Sorcery_Mysticism_Buff01
072414,Buff_SlowTime
0725AA,Destiny_Fighter_01
0725AB,Destiny_Fighter_02
0725AC,Destiny_Fighter_03
0725AD,Destiny_Fighter_04
0725AE,Destiny_Fighter_05
0725AF,Destiny_Fighter_06
0725B3,Destiny_Rogue_06
0725B4,Destiny_Rogue_05
0725B5,Destiny_Rogue_04
0725B6,Destiny_Rogue_03
0725B7,Destiny_Rogue_02
0725B8,Destiny_Rogue_01
0725B9,Destiny_Mage_01
0725BA,Destiny_Mage_02
0725BB,Destiny_Mage_03
0725BC,Destiny_Mage_04
0725BD,Destiny_Mage_05
0725BE,Destiny_Mage_06
0725C5,Destiny_FighterMage_05
0725C6,Destiny_FighterMage_04
0725C7,Destiny_FighterMage_03
0725C8,Destiny_FighterMage_02
0725C9,Destiny_FighterMage_01
0726AE,Destiny_FighterRogue_01
0726AF,Destiny_FighterRogue_02
0726B0,Destiny_FighterRogue_03
0726B1,Destiny_FighterRogue_04
0726B2,Destiny_FighterRogue_05
0726B3,Destiny_MageRogue_01
0726B4,Destiny_MageRogue_02
0726B5,Destiny_MageRogue_03
0726B6,Destiny_MageRogue_04
0726B7,Destiny_MageRogue_05
0726BE,Destiny_JackOfAllTrades_01
0726BF,Destiny_JackOfAllTrades_02
0726C1,Destiny_JackOfAllTrades_03
0726C3,Destiny_JackOfAllTrades_04
0726C4,Destiny_JackOfAllTrades_05
072868,Destiny_JackOfAllTrades_06
07286B,DestinyBuff_Fighter_06a
07286C,DestinyBuff_Fighter_05a
07286D,DestinyBuff_Fighter_04a
07286E,DestinyBuff_Fighter_03a
07286F,DestinyBuff_Fighter_02a
072870,DestinyBuff_Fighter_01a
07289B,DestinyBuff_Fighter_01b
07289C,DestinyBuff_Fighter_02b
07289D,DestinyBuff_Fighter_03b
07289E,DestinyBuff_Fighter_04b
07289F,DestinyBuff_Fighter_05b
0728A0,DestinyBuff_Fighter_06b
0728AF,DestinyBuff_Fighter_06c
0728B0,DestinyBuff_Fighter_05c
0728B1,DestinyBuff_Fighter_04c
0728B2,DestinyBuff_Fighter_03c
0728DF,DestinyBuff_Fighter_05d
0728E0,DestinyBuff_Fighter_06d
0729E5,DestinyBuff_Rogue_06d
0729E6,DestinyBuff_Rogue_06c
0729E7,DestinyBuff_Rogue_06b
0729E8,DestinyBuff_Rogue_06a
0729E9,DestinyBuff_Rogue_05d
0729EA,DestinyBuff_Rogue_05c
0729EB,DestinyBuff_Rogue_05b
0729EC,DestinyBuff_Rogue_05a
0729ED,DestinyBuff_Rogue_04c
0729EE,DestinyBuff_Rogue_04b
0729EF,DestinyBuff_Rogue_04a
0729F0,DestinyBuff_Rogue_03c
0729F1,DestinyBuff_Rogue_03b
0729F2,DestinyBuff_Rogue_03a
0729F3,DestinyBuff_Rogue_02b
0729F4,DestinyBuff_Rogue_02a
0729F5,DestinyBuff_Rogue_01b
0729F6,DestinyBuff_Rogue_01a
072D1B,DestinyBuff_Mage_06d
072D1C,DestinyBuff_Mage_06c
072D1D,DestinyBuff_Mage_06b
072D1E,DestinyBuff_Mage_06a
072D1F,DestinyBuff_Mage_05d
072D20,DestinyBuff_Mage_05c
072D21,DestinyBuff_Mage_05b
072D22,DestinyBuff_Mage_05a
072D23,DestinyBuff_Mage_04c
072D24,DestinyBuff_Mage_04b
072D25,DestinyBuff_Mage_04a
072D26,DestinyBuff_Mage_03c
072D27,DestinyBuff_Mage_03b
072D28,DestinyBuff_Mage_03a
072D29,DestinyBuff_Mage_02b
072D2A,DestinyBuff_Mage_02a
072D2B,DestinyBuff_Mage_01b
072D2C,DestinyBuff_Mage_01a
072DE5,DestinyBuff_FighterMage_05a
072DE6,DestinyBuff_FighterMage_04a
072DE7,DestinyBuff_FighterMage_03a
072DE8,DestinyBuff_FighterMage_02a
072DE9,DestinyBuff_FighterMage_01a
072DEC,DestinyBuff_FighterMage_01b
072DED,DestinyBuff_FighterMage_02b
072DEE,DestinyBuff_FighterMage_03b
072DEF,DestinyBuff_FighterMage_04b
072DF0,DestinyBuff_FighterMage_05b
072E72,DestinyBuff_FighterMage_02c
072E73,DestinyBuff_FighterMage_03c
072E74,DestinyBuff_FighterMage_04c
072E75,DestinyBuff_FighterMage_05c
072E76,DestinyBuff_FighterMage_04d
072E77,DestinyBuff_FighterMage_05d
072E78,DestinyBuff_FighterMage_03d
072E79,DestinyBuff_FighterMage_04e
072E7A,DestinyBuff_FighterMage_05e
072E7C,DestinyBuff_FighterMage_05f
072E7D,DestinyBuff_FighterRogue_05f
072E7E,DestinyBuff_FighterRogue_05e
072E7F,DestinyBuff_FighterRogue_05d
072E80,DestinyBuff_FighterRogue_05c
072E81,DestinyBuff_FighterRogue_05b
072E82,DestinyBuff_FighterRogue_05a
072E83,DestinyBuff_FighterRogue_04e
072E84,DestinyBuff_FighterRogue_04d
072E85,DestinyBuff_FighterRogue_04c
072E86,DestinyBuff_FighterRogue_04b
072E87,DestinyBuff_FighterRogue_04a
072E88,DestinyBuff_FighterRogue_03d
072E89,DestinyBuff_FighterRogue_03c
072E8A,DestinyBuff_FighterRogue_03b
072E8B,DestinyBuff_FighterRogue_03a
072E8C,DestinyBuff_FighterRogue_02c
072E8D,DestinyBuff_FighterRogue_02b
072E8E,DestinyBuff_FighterRogue_02a
072E8F,DestinyBuff_FighterRogue_01b
072E90,DestinyBuff_FighterRogue_01a
072E9F,DestinyBuff_MageRogue_01a
072EA0,DestinyBuff_MageRogue_01b
072EA1,DestinyBuff_MageRogue_02a
072EA2,DestinyBuff_MageRogue_02b
072EA3,DestinyBuff_MageRogue_02c
072EA4,DestinyBuff_MageRogue_03a
072EA5,DestinyBuff_MageRogue_03b
072EA6,DestinyBuff_MageRogue_03c
072EA7,DestinyBuff_MageRogue_03d
072EA8,DestinyBuff_MageRogue_04a
072EA9,DestinyBuff_MageRogue_04b
072EAA,DestinyBuff_MageRogue_04c
072EAB,DestinyBuff_MageRogue_04d
072EAC,DestinyBuff_MageRogue_04e
072EAD,DestinyBuff_MageRogue_05a
072EAE,DestinyBuff_MageRogue_05b
072EAF,DestinyBuff_MageRogue_05c
072EB0,DestinyBuff_MageRogue_05d
072EB1,DestinyBuff_MageRogue_05e
072EB2,DestinyBuff_MageRogue_05f
072ED2,DestinyBuff_JackOfAllTrades_06a
072ED3,DestinyBuff_JackOfAllTrades_05a
072ED4,DestinyBuff_JackOfAllTrades_04a
072ED5,DestinyBuff_JackOfAllTrades_03a
072ED6,DestinyBuff_JackOfAllTrades_02a
072ED7,DestinyBuff_JackOfAllTrades_01a
072ED8,DestinyBuff_JackOfAllTrades_01b
072ED9,DestinyBuff_JackOfAllTrades_02b
072EDA,DestinyBuff_JackOfAllTrades_03b
072EDB,DestinyBuff_JackOfAllTrades_04b
072EDC,DestinyBuff_JackOfAllTrades_05b
072EDD,DestinyBuff_JackOfAllTrades_06b
072EDE,DestinyBuff_JackOfAllTrades_01c
072EDF,DestinyBuff_JackOfAllTrades_02c
072EE0,DestinyBuff_JackOfAllTrades_03c
072EE1,DestinyBuff_JackOfAllTrades_04c
072EE2,DestinyBuff_JackOfAllTrades_05c
072EE3,DestinyBuff_JackOfAllTrades_06c
072EE4,DestinyBuff_JackOfAllTrades_02d
072EE5,DestinyBuff_JackOfAllTrades_03d
072EE6,DestinyBuff_JackOfAllTrades_04d
072EE7,DestinyBuff_JackOfAllTrades_05d
072EE8,DestinyBuff_JackOfAllTrades_06d
072EE9,DestinyBuff_JackOfAllTrades_06e
072EEA,DestinyBuff_JackOfAllTrades_05e
072EEB,DestinyBuff_JackOfAllTrades_04e
072EEC,DestinyBuff_JackOfAllTrades_03e
072EED,DestinyBuff_JackOfAllTrades_04f
072EEE,DestinyBuff_JackOfAllTrades_05f
072EEF,DestinyBuff_JackOfAllTrades_06f
072EF0,DestinyBuff_JackOfAllTrades_06g
072EF1,DestinyBuff_JackOfAllTrades_05g
072EF2,DestinyBuff_JackOfAllTrades_06h
073317,ItemBuff_TotalArmorBonusPercent01
073361,ItemBuff_RaceDmgPercent_Demons01
073734,ItemBuff_StaffFire_DmgFlat_01a
073735,ItemBuff_StaffFire_DoTFlat_01a
07376A,ItemBuff_StaffFire_DoTFlat_03a
07376B,ItemBuff_StaffFire_DmgFlat_03a
073DBC,QuestBuff_TR05_EternalFrost
0756B4,Finesse_AssassinsArt_02
0756B5,Finesse_AssassinsArt_03
0756B6,Finesse_AssassinsArt_04
075C2C,StatusEffect_Fire
075C31,StatusEffect_Ice
075C32,StatusEffect_Lightning
075C33,StatusEffect_Poison
075C34,StatusEffect_Bleeding
0785C4,LeashingBuff_RunHome
079F57,Prefix_Damage_Physical_01
079F58,Prefix_Damage_Physical_02
079F59,Prefix_Damage_Physical_03
079F5A,Prefix_Damage_Physical_04
079F5B,Prefix_Damage_Physical_05
079F5C,Prefix_Damage_Piercing_01
079F5D,Prefix_Damage_Piercing_02
079F83,Prefix_Damage_Piercing_03
079F84,Prefix_Damage_Piercing_04
079F85,Prefix_Damage_Piercing_05
079F86,Prefix_Damage_Ice_01
079F87,Prefix_Damage_Ice_02
079F88,Prefix_Damage_Ice_03
079F89,Prefix_Damage_Ice_04
079F8A,Prefix_Damage_Ice_05
079F8B,Prefix_Damage_Fire_01
079F8C,Prefix_Damage_Fire_02
